"Time","vaporwave","cottagecore","dark academia","liminal space","internet aesthetic"
"2010-11-01",0,0,0,1,0
"2010-12-01",0,0,0,0,0
"2011-01-01",0,0,0,1,0
"2011-02-01",0,0,0,1,0
"2011-03-01",0,0,0,1,0
"2011-04-01",0,0,0,0,0
"2011-05-01",0,0,0,1,0
"2011-06-01",0,0,0,1,0
"2011-07-01",0,0,0,0,0
"2011-08-01",0,0,0,0,0
"2011-09-01",0,0,0,1,0
"2011-10-01",0,0,0,1,0
"2011-11-01",0,0,0,1,0
"2011-12-01",0,0,0,1,0
"2012-01-01",0,0,0,1,0
"2012-02-01",0,0,0,1,0
"2012-03-01",0,0,0,1,0
"2012-04-01",0,0,0,1,0
"2012-05-01",0,0,0,1,0
"2012-06-01",0,0,0,1,0
"2012-07-01",0,0,0,1,0
"2012-08-01",0,0,0,1,0
"2012-09-01",0,0,0,1,0
"2012-10-01",0,0,0,1,0
"2012-11-01",2,0,0,1,0
"2012-12-01",1,0,0,1,0
"2013-01-01",1,0,0,1,0
"2013-02-01",1,0,0,1,0
"2013-03-01",1,0,0,1,0
"2013-04-01",1,0,0,1,0
"2013-05-01",1,0,0,1,0
"2013-06-01",2,0,0,1,0
"2013-07-01",1,0,0,1,0
"2013-08-01",2,0,0,1,0
"2013-09-01",1,0,0,1,0
"2013-10-01",2,0,0,1,0
"2013-11-01",2,0,0,1,0
"2013-12-01",2,0,0,1,0
"2014-01-01",3,0,0,1,0
"2014-02-01",3,0,0,1,0
"2014-03-01",3,0,0,1,0
"2014-04-01",3,0,0,1,0
"2014-05-01",4,0,0,1,0
"2014-06-01",10,0,0,1,0
"2014-07-01",12,0,0,1,0
"2014-08-01",9,0,0,0,0
"2014-09-01",10,0,0,1,0
"2014-10-01",10,0,0,1,0
"2014-11-01",8,0,0,1,0
"2014-12-01",11,0,0,1,0
"2015-01-01",11,0,0,1,0
"2015-02-01",11,0,0,1,0
"2015-03-01",12,0,0,1,0
"2015-04-01",12,0,0,1,0
"2015-05-01",14,0,0,1,0
"2015-06-01",14,0,0,1,0
"2015-07-01",16,0,0,1,0
"2015-08-01",17,0,0,1,0
"2015-09-01",19,0,0,1,0
"2015-10-01",20,0,0,1,0
"2015-11-01",22,0,0,1,0
"2015-12-01",22,0,0,1,0
"2016-01-01",25,0,0,1,0
"2016-02-01",32,0,0,1,0
"2016-03-01",31,0,0,1,0
"2016-04-01",40,0,1,1,0
"2016-05-01",40,0,1,1,0
"2016-06-01",42,0,1,1,0
"2016-07-01",34,0,1,1,0
"2016-08-01",36,0,0,1,0
"2016-09-01",44,0,0,2,0
"2016-10-01",48,0,0,2,0
"2016-11-01",48,0,0,2,0
"2016-12-01",49,0,0,1,0
"2017-01-01",54,0,1,1,0
"2017-02-01",53,0,0,1,0
"2017-03-01",49,0,0,2,0
"2017-04-01",50,0,1,2,0
"2017-05-01",50,0,1,2,0
"2017-06-01",44,0,1,2,0
"2017-07-01",46,0,1,2,0
"2017-08-01",47,0,1,2,0
"2017-09-01",49,0,1,2,0
"2017-10-01",50,0,1,2,0
"2017-11-01",47,0,1,2,0
"2017-12-01",47,0,1,2,0
"2018-01-01",50,0,1,2,0
"2018-02-01",50,0,1,2,0
"2018-03-01",49,0,1,2,0
"2018-04-01",47,0,1,2,0
"2018-05-01",46,0,2,3,0
"2018-06-01",43,0,2,2,0
"2018-07-01",43,0,2,2,0
"2018-08-01",46,0,2,1,0
"2018-09-01",45,0,2,2,0
"2018-10-01",40,0,1,2,0
"2018-11-01",41,0,1,2,0
"2018-12-01",39,0,2,3,0
"2019-01-01",38,0,1,2,0
"2019-02-01",39,0,1,2,0
"2019-03-01",37,0,1,2,0
"2019-04-01",36,1,1,2,0
"2019-05-01",38,0,2,2,0
"2019-06-01",39,1,2,2,0
"2019-07-01",42,1,2,2,0
"2019-08-01",41,1,2,2,0
"2019-09-01",40,1,3,2,0
"2019-10-01",36,1,3,2,0
"2019-11-01",35,1,3,2,0
"2019-12-01",37,1,4,2,0
"2020-01-01",36,3,4,2,0
"2020-02-01",39,5,8,3,1
"2020-03-01",37,9,9,3,1
"2020-04-01",43,15,9,7,1
"2020-05-01",43,21,12,5,1
"2020-06-01",41,33,12,4,1
"2020-07-01",43,57,17,7,1
"2020-08-01",39,62,18,5,1
"2020-09-01",38,45,31,8,2
"2020-10-01",27,38,37,6,1
"2020-11-01",29,100,49,7,1
"2020-12-01",29,61,67,8,1
"2021-01-01",27,74,75,8,1
"2021-02-01",25,67,54,7,1
"2021-03-01",24,73,44,6,1
"2021-04-01",23,75,41,7,1
"2021-05-01",22,65,37,10,1
"2021-06-01",21,68,34,11,1
"2021-07-01",19,68,40,11,1
"2021-08-01",19,59,46,10,1
"2021-09-01",18,63,43,11,1
"2021-10-01",17,55,41,12,1
"2021-11-01",16,51,42,12,1
"2021-12-01",17,52,42,12,1
"2022-01-01",22,60,46,18,1
"2022-02-01",21,53,40,20,1
"2022-03-01",21,52,40,18,1
"2022-04-01",21,57,39,23,1
"2022-05-01",20,52,37,19,1
"2022-06-01",19,49,35,17,1
"2022-07-01",19,47,40,19,1
"2022-08-01",19,43,41,14,1
"2022-09-01",19,41,45,14,1
"2022-10-01",16,37,40,14,1
"2022-11-01",16,36,37,17,1
"2022-12-01",16,36,40,15,1
"2023-01-01",17,38,39,15,1
"2023-02-01",17,39,35,17,1
"2023-03-01",14,34,28,15,1
"2023-04-01",15,36,24,14,1
"2023-05-01",16,33,22,18,1
"2023-06-01",15,33,25,15,1
"2023-07-01",13,34,25,14,1
"2023-08-01",13,32,31,15,1
"2023-09-01",13,29,30,18,1
"2023-10-01",13,26,29,14,1
"2023-11-01",12,26,29,15,1
"2023-12-01",13,28,28,17,1
"2024-01-01",13,30,31,18,1
"2024-02-01",13,28,24,18,1
"2024-03-01",13,32,26,17,1
"2024-04-01",12,30,25,16,1
"2024-05-01",13,31,26,16,1
"2024-06-01",12,31,25,15,1
"2024-07-01",13,38,35,14,1
"2024-08-01",12,44,43,13,1
"2024-09-01",12,38,43,14,1
"2024-10-01",15,33,38,16,1
"2024-11-01",14,28,32,16,1
"2024-12-01",12,27,29,16,1
"2025-01-01",12,28,27,15,1
"2025-02-01",14,22,23,16,1
"2025-03-01",13,23,23,17,1
"2025-04-01",13,23,19,15,1
"2025-05-01",13,22,19,17,1
"2025-06-01",13,21,19,15,1
"2025-07-01",15,22,24,15,1
"2025-08-01",15,28,31,15,5
"2025-09-01",13,25,28,14,4
"2025-10-01",13,21,27,16,3
"2025-11-01",13,21,28,17,3
"2025-12-01",12,20,25,16,6
"2026-01-01",12,23,23,17,7
"2026-02-01",43,91,32,19,7
"2026-03-01",14,35,22,18,7
"2026-04-01",19,58,27,23,9
"2026-05-01",20,56,30,32,11
"2026-06-01",14,37,24,49,5
