"Time","vaporwave","internet aesthetics","vaporwave aesthetic","seapunk aesthetic","witch house aesthetic"
"2010-11-01",0,0,0,0,0
"2010-12-01",0,0,0,0,0
"2011-01-01",0,0,0,0,0
"2011-02-01",0,0,0,0,0
"2011-03-01",0,0,0,0,0
"2011-04-01",0,0,0,0,0
"2011-05-01",0,0,0,0,0
"2011-06-01",0,0,0,0,0
"2011-07-01",0,0,0,0,0
"2011-08-01",0,0,0,0,0
"2011-09-01",0,0,0,0,0
"2011-10-01",0,0,0,0,0
"2011-11-01",0,0,0,0,0
"2011-12-01",0,0,0,0,0
"2012-01-01",0,0,0,0,0
"2012-02-01",0,0,0,0,0
"2012-03-01",0,0,0,0,0
"2012-04-01",0,0,0,0,0
"2012-05-01",0,0,0,0,0
"2012-06-01",0,0,0,0,0
"2012-07-01",0,0,0,0,0
"2012-08-01",0,0,0,0,0
"2012-09-01",1,0,0,0,0
"2012-10-01",1,0,0,0,0
"2012-11-01",3,0,0,0,0
"2012-12-01",2,0,0,0,0
"2013-01-01",2,0,0,0,0
"2013-02-01",1,0,0,0,0
"2013-03-01",1,0,0,0,0
"2013-04-01",2,0,0,0,0
"2013-05-01",2,0,0,0,0
"2013-06-01",3,0,0,0,0
"2013-07-01",2,0,0,0,0
"2013-08-01",3,0,0,0,0
"2013-09-01",2,0,0,0,0
"2013-10-01",5,0,0,0,0
"2013-11-01",3,0,0,0,0
"2013-12-01",4,0,0,0,0
"2014-01-01",5,0,0,0,0
"2014-02-01",5,0,0,0,0
"2014-03-01",5,0,0,0,0
"2014-04-01",6,0,0,0,0
"2014-05-01",8,0,0,0,0
"2014-06-01",18,0,0,0,0
"2014-07-01",22,0,0,0,0
"2014-08-01",17,0,0,0,0
"2014-09-01",19,0,0,0,0
"2014-10-01",18,0,0,0,0
"2014-11-01",16,0,0,0,0
"2014-12-01",21,0,0,0,0
"2015-01-01",20,0,0,0,0
"2015-02-01",20,0,0,0,0
"2015-03-01",22,0,0,0,0
"2015-04-01",23,0,0,0,0
"2015-05-01",26,0,1,0,0
"2015-06-01",26,0,1,0,0
"2015-07-01",30,0,1,0,0
"2015-08-01",31,0,1,0,0
"2015-09-01",34,0,1,0,0
"2015-10-01",37,0,2,0,0
"2015-11-01",40,0,2,0,0
"2015-12-01",40,0,2,0,0
"2016-01-01",46,0,2,0,0
"2016-02-01",59,0,3,0,0
"2016-03-01",58,0,3,0,0
"2016-04-01",73,0,4,0,0
"2016-05-01",74,0,4,0,0
"2016-06-01",77,0,5,0,0
"2016-07-01",62,0,4,0,0
"2016-08-01",67,0,3,0,0
"2016-09-01",81,0,4,0,0
"2016-10-01",88,0,5,0,0
"2016-11-01",89,0,4,0,0
"2016-12-01",91,0,5,0,0
"2017-01-01",100,0,5,0,0
"2017-02-01",97,0,5,0,0
"2017-03-01",90,0,5,0,0
"2017-04-01",92,0,5,0,0
"2017-05-01",93,0,5,0,0
"2017-06-01",81,0,5,0,0
"2017-07-01",85,0,5,0,0
"2017-08-01",87,0,5,0,0
"2017-09-01",90,0,5,0,0
"2017-10-01",91,0,5,0,0
"2017-11-01",87,0,5,0,0
"2017-12-01",87,0,6,0,0
"2018-01-01",92,0,6,0,0
"2018-02-01",92,0,6,0,0
"2018-03-01",90,0,6,0,0
"2018-04-01",87,0,6,0,0
"2018-05-01",85,0,6,0,0
"2018-06-01",79,0,6,0,0
"2018-07-01",80,0,5,0,0
"2018-08-01",85,0,7,0,0
"2018-09-01",83,0,6,0,0
"2018-10-01",73,0,5,0,0
"2018-11-01",75,0,6,0,0
"2018-12-01",72,0,5,0,0
"2019-01-01",71,0,5,0,0
"2019-02-01",73,0,6,0,0
"2019-03-01",68,0,5,0,0
"2019-04-01",66,0,5,0,0
"2019-05-01",70,0,5,0,0
"2019-06-01",72,0,5,0,0
"2019-07-01",78,0,6,0,0
"2019-08-01",76,0,6,0,0
"2019-09-01",74,0,5,0,0
"2019-10-01",66,0,5,0,0
"2019-11-01",64,0,5,0,0
"2019-12-01",69,0,6,0,0
"2020-01-01",67,0,5,0,0
"2020-02-01",71,0,7,0,0
"2020-03-01",69,0,7,0,0
"2020-04-01",79,0,7,0,0
"2020-05-01",80,0,8,0,0
"2020-06-01",76,0,7,0,0
"2020-07-01",79,0,8,0,0
"2020-08-01",72,0,7,0,0
"2020-09-01",70,0,7,0,0
"2020-10-01",50,0,6,0,0
"2020-11-01",54,0,6,0,0
"2020-12-01",53,0,6,0,0
"2021-01-01",50,0,7,0,0
"2021-02-01",45,0,6,0,0
"2021-03-01",44,0,6,0,0
"2021-04-01",42,0,6,0,0
"2021-05-01",40,0,5,0,0
"2021-06-01",39,0,4,0,0
"2021-07-01",36,0,4,0,0
"2021-08-01",35,0,4,0,0
"2021-09-01",34,0,4,0,0
"2021-10-01",31,0,4,0,0
"2021-11-01",30,0,3,0,0
"2021-12-01",32,0,4,0,0
"2022-01-01",41,0,5,0,0
"2022-02-01",38,0,4,0,0
"2022-03-01",39,0,4,0,0
"2022-04-01",39,0,4,0,0
"2022-05-01",38,0,4,0,0
"2022-06-01",36,0,3,0,0
"2022-07-01",36,0,4,0,0
"2022-08-01",35,0,3,0,0
"2022-09-01",35,0,3,0,0
"2022-10-01",30,0,3,0,0
"2022-11-01",29,0,3,0,0
"2022-12-01",30,0,2,0,0
"2023-01-01",32,0,3,0,0
"2023-02-01",31,0,3,0,0
"2023-03-01",26,0,2,0,0
"2023-04-01",27,0,2,0,0
"2023-05-01",29,0,2,0,0
"2023-06-01",27,0,2,0,0
"2023-07-01",25,0,2,0,0
"2023-08-01",24,0,2,0,0
"2023-09-01",24,0,2,0,0
"2023-10-01",23,0,2,0,0
"2023-11-01",23,0,2,0,0
"2023-12-01",23,0,2,0,0
"2024-01-01",25,0,2,0,0
"2024-02-01",25,0,2,0,0
"2024-03-01",25,0,2,0,0
"2024-04-01",23,0,2,0,0
"2024-05-01",23,0,2,0,0
"2024-06-01",22,0,1,0,0
"2024-07-01",23,0,1,0,0
"2024-08-01",23,0,1,0,0
"2024-09-01",21,0,1,0,0
"2024-10-01",28,0,1,0,0
"2024-11-01",25,0,2,0,0
"2024-12-01",23,0,2,0,0
"2025-01-01",22,0,1,0,0
"2025-02-01",26,0,1,0,0
"2025-03-01",25,0,1,0,0
"2025-04-01",24,1,1,0,0
"2025-05-01",24,1,1,0,0
"2025-06-01",23,1,1,0,0
"2025-07-01",29,1,1,0,0
"2025-08-01",28,3,2,0,0
"2025-09-01",24,3,1,0,0
"2025-10-01",24,2,1,0,0
"2025-11-01",24,3,1,0,0
"2025-12-01",23,4,2,0,0
"2026-01-01",23,3,1,0,0
"2026-02-01",79,4,20,0,0
"2026-03-01",26,5,2,0,0
"2026-04-01",35,7,2,0,0
"2026-05-01",38,8,2,0,0
"2026-06-01",25,4,1,0,0
